Node X Y Demand Profit
1 0.0 0.0
2 5.7735 0.0 40 16
3 2.8867 5.0 40 16
4 -2.8868 5.0 40 16
5 -5.7735 0.0 40 16
6 -2.8867 -5.0 40 16
7 2.8868 -5.0 40 16
8 8.6603 5.0 40 24
9 0.0 10.0 40 24
10 -8.6603 5.0 40 24
11 -8.6603 -5.0 40 24
12 0.0 -10.0 40 24
13 8.6603 -5.0 40 24
14 5.3405 0.75 10 10
15 3.3198 4.25 10 10
16 6.4952 -1.25 10 11
17 7.2169 -2.5 20 16
18 7.9386 -3.75 10 13
19 6.4952 1.25 10 11
20 7.2169 2.5 20 16
21 7.9386 3.75 10 13
22 2.0207 5.0 10 10
23 -2.0207 5.0 10 10
24 4.3301 5.0 10 11
25 5.7735 5.0 20 16
26 7.2169 5.0 10 13
27 2.1651 6.25 10 11
28 1.4434 7.5 20 16
29 0.7217 8.75 10 13
30 -3.3198 4.25 10 10
31 -5.3405 0.75 10 10
32 -2.1651 6.25 10 11
33 -1.4434 7.5 20 16
34 -0.7217 8.75 10 13
35 -4.3301 5.0 10 11
36 -5.7735 5.0 20 16
37 -7.2169 5.0 10 13
38 -5.3405 -0.75 10 10
39 -3.3198 -4.25 10 10
40 -6.4952 1.25 10 11
41 -7.2169 2.5 20 16
42 -7.9386 3.75 10 13
43 -6.4952 -1.25 10 11
44 -7.2169 -2.5 20 16
45 -7.9386 -3.75 10 13
46 -2.0207 -5.0 10 10
47 2.0207 -5.0 10 10
48 -4.3301 -5.0 10 11
49 -5.7735 -5.0 20 16
50 -7.2169 -5.0 10 13
51 -2.1651 -6.25 10 11
52 -1.4434 -7.5 20 16
53 -0.7217 -8.75 10 13
54 3.3198 -4.25 10 10
55 5.3405 -0.75 10 10
56 2.1651 -6.25 10 11
57 1.4434 -7.5 20 16
58 0.7217 -8.75 10 13
59 4.3301 -5.0 10 11
60 5.7735 -5.0 20 16
61 7.2169 -5.0 10 13
62 7.2169 0.0 40 19
63 3.6084 6.25 40 19
64 -3.6084 6.25 40 19
65 -7.2169 0.0 40 19
66 -3.6084 -6.25 40 19
67 3.6084 -6.25 40 19
68 10.8253 6.25 40 29
69 0.0 12.5 40 29
70 -10.8253 6.25 40 29
71 -10.8253 -6.25 40 29
72 0.0 -12.5 40 29
73 10.8253 -6.25 40 29
74 6.6756 0.9375 10 11
75 4.1497 5.3125 10 11
76 8.119 -1.5625 10 13
77 9.0211 -3.125 20 19
78 9.9232 -4.6875 10 15
79 8.119 1.5625 10 13
80 9.0211 3.125 20 19
81 9.9232 4.6875 10 15
82 2.5259 6.25 10 11
83 -2.5259 6.25 10 11
84 5.4127 6.25 10 13
85 7.2169 6.25 20 19
86 9.0211 6.25 10 15
87 2.7063 7.8125 10 13
88 1.8042 9.375 20 19
89 0.9021 10.9375 10 15
90 -4.1497 5.3125 10 11
91 -6.6756 0.9375 10 11
92 -2.7063 7.8125 10 13
93 -1.8042 9.375 20 19
94 -0.9021 10.9375 10 15
95 -5.4127 6.25 10 13
96 -7.2169 6.25 20 19
97 -9.0211 6.25 10 15
98 -6.6756 -0.9375 10 11
99 -4.1497 -5.3125 10 11
100 -8.119 1.5625 10 13
101 -9.0211 3.125 20 19
102 -9.9232 4.6875 10 15
103 -8.119 -1.5625 10 13
104 -9.0211 -3.125 20 19
105 -9.9232 -4.6875 10 15
106 -2.5259 -6.25 10 11
107 2.5259 -6.25 10 11
108 -5.4127 -6.25 10 13
109 -7.2169 -6.25 20 19
110 -9.0211 -6.25 10 15
111 -2.7063 -7.8125 10 13
112 -1.8042 -9.375 20 19
113 -0.9021 -10.9375 10 15
114 4.1497 -5.3125 10 11
115 6.6756 -0.9375 10 11
116 2.7063 -7.8125 10 13
117 1.8042 -9.375 20 19
118 0.9021 -10.9375 10 15
119 5.4127 -6.25 10 13
120 7.2169 -6.25 20 19
121 9.0211 -6.25 10 15
122 9.0211 0.0 40 22
123 4.5105 7.8125 40 22
124 -4.5105 7.8125 40 22
125 -9.0211 0.0 40 22
126 -4.5105 -7.8125 40 22
127 4.5106 -7.8125 40 22
128 13.5316 7.8125 40 36
129 0.0 15.625 40 36
130 -13.5316 7.8125 40 36
131 -13.5316 -7.8125 40 36
132 0.0 -15.625 40 36
133 13.5316 -7.8125 40 36
134 8.3445 1.1719 10 13
135 5.1871 6.6406 10 13
136 10.1487 -1.9531 10 15
137 11.2764 -3.9062 20 22
138 12.404 -5.8594 10 18
139 10.1487 1.9531 10 15
140 11.2764 3.9062 20 22
141 12.404 5.8594 10 18
142 3.1574 7.8125 10 13
143 -3.1574 7.8125 10 13
144 6.7658 7.8125 10 15
145 9.0211 7.8125 20 22
146 11.2764 7.8125 10 18
147 3.3829 9.7656 10 15
148 2.2553 11.7187 20 22
149 1.1276 13.6719 10 18
150 -5.1871 6.6406 10 13
151 -8.3445 1.1719 10 13
152 -3.3829 9.7656 10 15
153 -2.2553 11.7187 20 22
154 -1.1276 13.6719 10 18
155 -6.7658 7.8125 10 15
156 -9.0211 7.8125 20 22
157 -11.2764 7.8125 10 18
158 -8.3445 -1.1719 10 13
159 -5.1871 -6.6406 10 13
160 -10.1487 1.9531 10 15
161 -11.2764 3.9062 20 22
162 -12.404 5.8594 10 18
163 -10.1487 -1.9531 10 15
164 -11.2764 -3.9063 20 22
165 -12.404 -5.8594 10 18
166 -3.1574 -7.8125 10 13
167 3.1574 -7.8125 10 13
168 -6.7658 -7.8125 10 15
169 -9.0211 -7.8125 20 22
170 -11.2764 -7.8125 10 18
171 -3.3829 -9.7656 10 15
172 -2.2553 -11.7187 20 22
173 -1.1276 -13.6719 10 18
174 5.1871 -6.6406 10 13
175 8.3445 -1.1719 10 13
176 3.3829 -9.7656 10 15
177 2.2553 -11.7187 20 22
178 1.1276 -13.6719 10 18
179 6.7658 -7.8125 10 15
180 9.0211 -7.8125 20 22
181 11.2764 -7.8125 10 18
182 11.2764 0.0 40 27
183 5.6382 9.7656 40 27
184 -5.6382 9.7656 40 27
185 -11.2764 0.0 40 27
186 -5.6382 -9.7656 40 27
187 5.6382 -9.7656 40 27
188 16.9146 9.7656 40 43
189 0.0 19.5312 40 43
190 -16.9146 9.7656 40 43
191 -16.9146 -9.7656 40 43
192 0.0 -19.5312 40 43
193 16.9146 -9.7656 40 43
194 10.4306 1.4648 10 15
195 6.4839 8.3008 10 15
196 12.6859 -2.4414 10 17
197 14.0955 -4.8828 20 27
198 15.505 -7.3242 10 22
199 12.6859 2.4414 10 17
200 14.0955 4.8828 20 27
201 15.505 7.3242 10 22
202 3.9467 9.7656 10 15
203 -3.9467 9.7656 10 15
204 8.4573 9.7656 10 17
205 11.2764 9.7656 20 27
206 14.0955 9.7656 10 22
207 4.2286 12.207 10 17
208 2.8191 14.6484 20 27
209 1.4095 17.0898 10 22
210 -6.4839 8.3008 10 15
211 -10.4306 1.4648 10 15
212 -4.2286 12.207 10 17
213 -2.8191 14.6484 20 27
214 -1.4095 17.0898 10 22
215 -8.4573 9.7656 10 17
216 -11.2764 9.7656 20 27
217 -14.0955 9.7656 10 22
218 -10.4306 -1.4648 10 15
219 -6.4839 -8.3008 10 15
220 -12.6859 2.4414 10 17
221 -14.0955 4.8828 20 27
222 -15.505 7.3242 10 22
223 -12.6859 -2.4414 10 17
224 -14.0955 -4.8828 20 27
225 -15.505 -7.3242 10 22
226 -3.9467 -9.7656 10 15
227 3.9467 -9.7656 10 15
228 -8.4573 -9.7656 10 17
229 -11.2764 -9.7656 20 27
230 -14.0955 -9.7656 10 22
231 -4.2286 -12.207 10 17
232 -2.8191 -14.6484 20 27
233 -1.4095 -17.0898 10 22
234 6.4839 -8.3008 10 15
235 10.4306 -1.4648 10 15
236 4.2286 -12.207 10 17
237 2.8191 -14.6484 20 27
238 1.4095 -17.0898 10 22
239 8.4573 -9.7656 10 17
